147  1997.79     31.9    373.00     12.6      6.1    1    0
148  1997.71     28.4    391.83     12.6      6.7    1    0
149  1997.62     25.1    383.29      7.9      5.0    1    0
150  1997.54     22.7    377.90      4.5      5.1    1    0
151  1997.45     20.4    364.62      4.4      5.3    1    0
152  1997.37     18.4    357.87      4.9      5.1    1    0
153  1997.29     16.5    397.57      2.7      5.2    1    0
154  1997.21     13.5    385.00      5.1      5.4    1    0
155  1997.12     11.0    412.62      8.5      5.0    1    0
156  1997.04     10.5    414.23      9.8      5.3    1    0
157  1996.96     10.4    399.32      7.1      6.2    1    0
158  1996.87      9.8    412.30      6.3      5.5    1    0
159  1996.79      8.8    458.13     10.0      5.1    1    0
160  1996.71      8.4    482.80      9.3      5.4    1    0
161  1996.62      8.3    431.81      7.7      5.2    1    0
162  1996.54      8.4    384.20      4.8      5.1    1    0
163  1996.45      8.5    372.63      4.2      5.3    1    0
164  1996.37      8.0    388.68      5.0      5.0    1    0
165  1996.29      8.4    434.03      4.5      4.5    1    1
166  1996.21      9.7    434.74      2.8      5.0    1    1
167  1996.12     10.1    447.54      3.0      5.2    1    1
168  1996.04     10.4    424.13      4.3      5.1    1    1
169  1995.96     10.8    389.52      5.4      5.2    1    1
170  1995.87     11.3    385.60      5.3      5.1    1    1
171  1995.79     12.1    434.65      7.2      6.1    1    1
172  1995.70     13.4    414.00      6.8      5.6    1    1
173  1995.62     15.4    412.03     10.0      5.1    1    1
174  1995.54     17.0    384.07     10.3      5.4    1    1
175  1995.45     18.2    435.30     10.0      5.6    1    1
176  1995.37     19.2    500.71     10.2      5.9    1    1
177  1995.29     20.6    434.07     11.6      5.6    1    1
178  1995.20     22.1    452.48      7.7      5.8    1    1
179  1995.12     23.0    453.10      9.8      6.4    1    1
180  1995.04     24.2    446.29      9.1      6.6    1    1
181  1994.96     25.6    476.05     10.7      6.0    1    1
182  1994.87     26.2    399.65     10.7      6.4    1    1
183  1994.79     26.5    478.67     10.7      7.0    1    1
184  1994.71     26.6    425.80     10.4      5.8    1    1
185  1994.62     26.8    414.29     10.0      5.8    1    1
186  1994.54     28.5    519.00     12.3      5.4    1    1
187  1994.45     30.8    564.14     17.5      5.7    1    1
188  1994.37     32.5    636.48     17.3      5.6    1    1
189  1994.29     33.7    581.50     17.5      6.7    1    1
190  1994.20     34.1    532.13     17.7      6.0    1    1
191  1994.12     34.8    593.79     18.0      8.3    1    1
192  1994.04     36.6    540.14     18.5      7.4    1    1
193  1993.96     38.4    502.18     17.1      6.5    1    1
194  1993.87     41.2    474.44     14.6      7.7    1    1
195  1993.79     44.9    395.59     17.3      5.5    1    1
196  1993.71     48.4    382.65     15.5      6.4    1    1
197  1993.62     52.3    421.50     14.9      6.9    1    1
198  1993.54     54.7    424.65     18.6      5.7    1    1
199  1993.45     56.1    449.33     20.8      7.1    1    1
200  1993.37     59.9    450.36     19.8      6.6    1    1
201  1993.29     63.6    471.68     21.5      6.6    1    1
202  1993.21     66.6    471.61     19.5      6.4    1    1
203  1993.12     69.3    522.37     21.3      7.6    1    1
204  1993.04     71.4    498.96     23.5      6.2    1    1
205  1992.96     73.2    481.59     17.6      8.2    1    1
206  1992.87     74.4    453.00     16.3      7.5    1    1
207  1992.79     76.4    469.05     16.0      7.8    1    1
208  1992.71     79.5    459.06     16.3      7.9    1    1
209  1992.62     84.0    406.65     17.5      6.7    1    1
210  1992.54     90.7    364.53     15.4      7.5    1    1
211  1992.45     97.1    458.35      9.3      6.4    1    1
212  1992.37    100.3    440.32     19.5      8.4    1    1
213  1992.29    103.3    390.59     25.6     10.2    1    1
214  1992.21    108.2    424.68     24.3      8.3    1    1
215  1992.12    115.4    436.80     27.6     10.0    1    1
216  1992.04    123.7    414.38     30.8      9.5    1    1
217  1991.96    131.7    469.39     38.0     10.4    1    1
218  1991.87    138.1    487.70     40.3      9.1    1    1
219  1991.79    141.7    503.09     41.1     12.0    1    1
220  1991.70    144.9    425.24     41.0      9.4    1    1
221  1991.62    146.6    535.64     47.1     10.7    1    1
